[2023-07-03 05:44:26,632][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-03 05:44:51,710][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-03 05:44:51,711][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-03 05:44:51,712][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-03 05:44:51,712][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-03 05:44:51,713][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-03 05:44:51,720][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-03 05:44:51,722][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-03 05:44:51,723][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-03 05:44:51,724][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-03 05:44:51,724][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-03 05:44:51,725][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-03 05:44:51,726][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-03 05:44:51,727][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 05:31:35,051][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 05:31:39,731][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 05:32:32,228][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 05:32:57,658][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 05:32:57,659][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 05:32:57,660][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 05:32:57,660][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 05:32:57,661][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 05:32:57,661][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 05:32:57,662][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 05:32:57,663][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 05:32:57,664][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 05:32:57,664][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 05:32:57,665][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 05:32:57,665][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 05:32:57,666][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 05:50:43,414][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 05:50:45,974][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 05:52:42,038][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 06:26:44,436][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 06:27:09,193][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 06:27:09,194][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 06:27:09,194][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 06:27:09,195][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 06:27:09,196][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 06:27:09,196][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 06:27:09,197][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 06:27:09,197][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 06:27:09,198][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 06:27:09,198][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 06:27:09,199][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 06:27:09,199][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 06:27:09,200][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 06:37:00,621][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 06:37:03,806][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 06:37:09,004][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 06:37:39,003][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 06:37:39,004][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 06:37:39,005][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 06:37:39,005][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 06:37:39,006][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 06:37:39,006][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 06:37:39,009][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 06:37:39,010][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 06:37:39,011][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 06:37:39,011][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 06:37:39,012][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 06:37:39,023][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 06:37:39,024][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 06:48:55,645][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 06:49:01,058][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 06:52:15,547][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 06:52:34,669][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 06:52:34,670][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 06:52:34,671][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 06:52:34,671][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 06:52:34,672][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 06:52:34,674][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 06:52:34,679][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 06:52:34,684][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 06:52:34,685][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 06:52:34,686][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 06:52:34,686][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 06:52:34,687][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 06:52:34,688][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 06:52:49,478][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 06:52:49,736][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 06:55:55,714][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 06:56:56,027][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 06:56:56,028][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 06:56:56,029][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 06:56:56,029][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 06:56:56,030][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 06:56:56,030][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 06:56:56,031][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 06:56:56,032][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 06:56:56,032][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 06:56:56,033][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 06:56:56,033][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 06:56:56,034][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 06:56:56,035][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 06:57:19,656][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 06:57:21,073][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 07:01:12,678][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 07:01:41,404][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 07:01:41,405][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 07:01:41,405][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 07:01:41,406][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 07:01:41,407][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 07:01:41,407][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 07:01:41,408][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 07:01:41,408][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 07:01:41,409][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 07:01:41,410][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 07:01:41,410][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 07:01:41,411][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 07:01:41,411][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 07:01:46,541][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 07:01:51,123][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 07:10:18,002][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 07:10:43,644][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 07:10:43,645][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 07:10:43,646][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 07:10:43,646][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 07:10:43,647][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 07:10:43,648][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 07:10:43,649][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 07:10:43,650][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 07:10:43,651][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 07:10:43,652][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 07:10:43,653][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 07:10:43,653][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 07:10:43,655][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 08:22:41,848][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 08:22:46,629][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 08:22:51,580][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 08:23:25,719][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 08:23:25,720][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 08:23:25,721][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 08:23:25,721][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 08:23:25,722][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 08:23:25,723][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 08:23:25,723][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 08:23:25,724][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 08:23:25,724][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 08:23:25,725][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 08:23:25,725][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 08:23:25,726][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 08:23:25,727][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 08:23:35,423][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 08:23:35,823][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 08:23:52,338][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 08:24:49,092][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 09:07:58,319][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 09:08:23,832][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 09:08:23,833][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 09:08:23,833][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 09:08:23,834][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 09:08:23,835][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 09:08:23,835][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 09:08:23,836][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 09:08:23,836][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 09:08:23,838][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 09:08:23,839][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 09:08:23,840][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 09:08:23,840][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 09:08:23,841][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 09:42:22,425][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 09:42:25,416][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 09:42:30,133][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 09:42:56,198][arcos.smd][INFO][daemon/MainThread] Registered action callback: cli-command
[2023-07-04 09:42:56,199][arcos.smd][INFO][daemon/MainThread] Registered action callback: debug-process-smd
[2023-07-04 09:42:56,200][arcos.smd][INFO][daemon/MainThread] Registered action callback: filesystem-completion
[2023-07-04 09:42:56,200][arcos.smd][INFO][daemon/MainThread] Registered action callback: system-software-upgrade-info-tag
[2023-07-04 09:42:56,201][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-configuration
[2023-07-04 09:42:56,202][arcos.smd][INFO][daemon/MainThread] Registered action callback: get-diff
[2023-07-04 09:42:56,202][arcos.smd][INFO][daemon/MainThread] Registered action callback: load-configuration
[2023-07-04 09:42:56,203][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-system-reboot
[2023-07-04 09:42:56,203][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-install
[2023-07-04 09:42:56,204][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-load
[2023-07-04 09:42:56,204][arcos.smd][INFO][daemon/MainThread] Registered action callback: request-software-rollback
[2023-07-04 09:42:56,205][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-cli-command
[2023-07-04 09:42:56,206][arcos.smd][INFO][daemon/MainThread] Registered action callback: bgp-rib-lpm-command
[2023-07-04 09:43:08,157][arcos.smd][INFO][smd/MainThread] Stopping process
[2023-07-04 09:43:11,348][arcos.smd][INFO][smd/MainThread] Process stopped
[2023-07-04 09:43:16,505][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 09:43:40,411][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 09:43:49,177][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 09:44:05,808][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 09:44:22,777][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 09:44:30,199][arcos.smd][INFO][smd/MainThread] Starting process
[2023-07-04 09:44:47,369][arcos.smd][INFO][smd/MainThread] Starting process
